id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_qual,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,mo_sold,yr_sold,sale_type,saleprice,total_baths,bsmt_finished,size_n_qual,bed_n_bath,fin_bsmt_fin_qual,bsmt_fin_n_ceiling,bsmt_finished_with_bath,bsmt_finished_with_halfbath,bsmt_size_fin_sf,overall_qual_cond
109,60,RL,77.50488599348535,13517,2,3,4,4,CulDSac,3,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,2,CBlock,1,1,1,5,533.0,1,0.0,192.0,725.0,GasA,3,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3.0,1,2,6,8,0,0,Attchd,1976.0,2,2.0,1,3,0,44,0,0,0,Spring,2010,WD ,130500,3.0,533.0,8874,9.0,2665.0,533.0,0.0,0.0,386425.0,48
544,60,RL,43.0,11492,2,3,4,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,2,PConc,2,1,1,5,637.0,1,0.0,276.0,913.0,GasA,3,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4.0,1,2,8,8,1,1,Attchd,1997.0,2,2.0,1,3,0,74,0,0,0,Spring,2009,WD ,220000,4.0,637.0,14854,16.0,3185.0,1274.0,637.0,0.0,581581.0,35
153,20,RL,68.0,7922,2,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,CBlock,1,1,1,5,731.0,1,0.0,326.0,1057.0,GasA,1,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3.0,1,2,5,8,0,0,Detchd,1953.0,1,1.0,1,3,0,52,0,0,0,Winter,2010,WD ,109000,2.0,731.0,5285,6.0,3655.0,731.0,731.0,0.0,772667.0,35
318,60,RL,73.0,9802,2,4,4,4,Inside,3,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,PConc,2,1,1,1,0.0,1,0.0,384.0,384.0,GasA,2,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3.0,1,1,7,8,0,0,BuiltIn,2007.0,3,2.0,1,3,100,0,0,0,0,Spring,2010,WD ,174000,3.0,0.0,7220,9.0,0.0,0.0,0.0,0.0,0.0,25
255,50,RL,82.0,14235,2,3,4,4,Inside,3,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,1,PConc,0,2,1,1,0.0,1,0.0,676.0,676.0,GasA,1,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3.0,1,1,6,8,0,0,Detchd,1957.0,1,2.0,1,1,0,59,0,0,0,Spring,2010,WD ,138500,2.0,0.0,8670,6.0,0.0,0.0,0.0,0.0,0.0,48
138,20,RL,137.0,16492,2,3,4,4,Corner,3,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,2,CBlock,1,1,1,5,247.0,3,713.0,557.0,1517.0,GasA,3,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2.0,1,2,6,5,1,2,Attchd,1966.0,3,2.0,1,3,0,0,0,0,0,Summer,2010,WD ,190000,3.0,960.0,11328,6.0,4800.0,960.0,0.0,0.0,1456320.0,36
2827,180,RM,35.0,3675,2,4,4,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,1,PConc,2,1,4,5,547.0,1,0.0,0.0,547.0,GasA,2,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2.0,1,1,5,8,0,0,Basment,2005.0,3,2.0,1,3,0,44,0,0,0,Summer,2006,New,140000,3.0,547.0,6432,6.0,2735.0,1094.0,547.0,0.0,299209.0,30
145,20,RL,76.95297805642633,12160,2,3,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,1,CBlock,1,1,1,3,1000.0,1,0.0,188.0,1188.0,GasA,0,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3.0,1,1,6,8,0,0,Attchd,1959.0,2,2.0,1,3,0,0,0,0,0,Spring,2010,COD,142000,2.0,1000.0,5940,6.0,3000.0,1000.0,1000.0,0.0,1188000.0,25
1942,20,RL,76.95297805642633,15783,2,4,4,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,CBlock,1,1,1,3,292.0,1,0.0,632.0,924.0,GasA,1,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2.0,1,1,6,8,0,0,Detchd,1952.0,1,1.0,1,3,0,324,0,0,0,Summer,2007,WD ,112500,1.0,292.0,4620,2.0,876.0,292.0,0.0,0.0,269808.0,25
1956,60,RL,70.0,11606,2,3,2,4,Inside,1,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,1,PConc,2,1,3,3,650.0,1,0.0,390.0,1040.0,GasA,1,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5.0,1,0,9,8,2,1,Attchd,1969.0,1,2.0,1,3,335,0,0,0,0,Summer,2007,WD ,135000,4.0,650.0,10400,20.0,1950.0,1300.0,0.0,650.0,676000.0,25
